,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
76,76,76,01912ECB060,4,411.0,8236,21.0,新光ゴム工業（株）,TP-331 ﾊﾝﾖｳ,400,0.78,1,1,1,3.25,1.0275,2,0.9804761904761904,1,1.0,1.0,3.0,0.0,0.41670238095238094,1.3971785714285714,0,0,0,0
77,77,77,2030052002N,4,946.0,18814,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,300,0.5,3,1,2,1.06,3.1533333333333333,4,2.9863492063492063,4,2.0,2.0,3.0,0.12,0.3075939682539683,2.1591304761904757,0,0,1,1
78,78,78,9034108A006,4,4195.0,83492,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,1000,0.53,3,1,2,1.06,4.195,5,3.975809523809524,3,1.0,2.0,4.0,0.12,0.40950838095238096,2.874510285714286,0,0,1,1
79,79,79,9034108A010,4,822.0,16472,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,1000,0.47,1,1,2,1.06,0.8220000000000001,1,0.7843809523809524,1,0.0,1.0,1.0,0.12,0.08079123809523811,0.5671074285714286,0,0,1,1
80,80,80,9034118090,4,946.0,18814,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,300,0.54,3,1,2,1.06,3.1533333333333333,4,2.9863492063492063,4,2.0,1.0,6.0,0.12,0.3075939682539683,2.1591304761904757,0,0,1,1
81,81,81,3559850A010,4,411.0,8236,21.0,アイコー（株）,AW-131 ｾﾝﾖｳ,100,0.9,1,1,2,3.92,4.11,5,3.921904761904762,4,4.0,2.0,1.0,0.32,0.9647885714285714,4.180750476190476,0,0,0,0
82,82,82,9034118060,4,535.0,10578,26.0,住友商事（株）鉄鋼部輸送機材,TP-331 ﾊﾝﾖｳ,300,0.74,1,1,1,3.0,1.7833333333333334,2,1.3561538461538465,1,0.0,1.0,7.0,0.0,0.5424615384615387,1.8986153846153853,0,0,1,1
83,83,83,G1174ECB010,4,411.0,8236,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.85,1,1,1,2.28,8.22,9,7.843809523809524,7,0.0,4.0,10.0,0.0,2.572769523809524,10.416579047619047,0,0,1,1
84,84,83,G1174ECB010,4,411.0,8236,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.85,1,1,1,2.28,8.22,9,7.843809523809524,7,0.0,4.0,10.0,0.0,2.572769523809524,10.416579047619047,0,0,1,1
85,85,84,G1174ECE010,4,535.0,10578,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.87,1,1,1,2.28,10.7,11,10.074285714285717,11,0.0,6.0,17.0,0.0,3.3043657142857152,13.378651428571432,0,0,1,1
86,86,84,G1174ECE010,4,535.0,10578,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.87,1,1,1,2.28,10.7,11,10.074285714285717,11,0.0,6.0,17.0,0.0,3.3043657142857152,13.378651428571432,0,0,1,1
87,87,85,82824ECE010,4,535.0,10578,21.0,住友電装（株）,TP-332 ﾊﾝﾖｳ,45,0.36,1,1,1,3.25,11.888888888888893,12,11.193650793650797,12,11.0,6.0,23.0,0.0,4.757301587301588,15.950952380952385,0,0,0,0
88,88,85,82824ECE010,4,535.0,10578,21.0,住友電装（株）,TP-332 ﾊﾝﾖｳ,45,0.36,1,1,1,3.25,11.888888888888893,12,11.193650793650797,12,11.0,6.0,23.0,0.0,4.757301587301588,15.950952380952385,0,0,0,0
89,89,86,G1144ECB010,4,411.0,8236,21.0,住友電気工業（株）,TP-331 ﾊﾝﾖｳ,6,0.63,2,1,1,2.28,68.5,69,65.36507936507937,61,0.0,37.0,40.0,0.0,21.439746031746033,86.80482539682541,0,0,1,1
90,90,87,G117362010,4,946.0,18814,21.0,多摩川精機販売（株）,TP-331-5 ﾊﾝﾖｳ,18,0.85,1,1,1,3.05,52.55555555555557,53,49.77248677248677,53,53.0,29.0,59.0,0.0,20.157857142857143,69.93034391534391,0,0,0,0
91,91,88,3519510A010,4,411.0,8236,21.0,中庸スプリング（株）,AW-131 ｾﾝﾖｳ,600,0.63,1,1,2,2.34,0.685,1,0.6536507936507937,1,0.0,0.0,3.0,0.1,0.10915968253968254,0.5013501587301588,0,0,1,1
92,92,89,35505ECB010,4,411.0,8236,21.0,中庸スプリング（株）,AW-131 ｾﾝﾖｳ,24,0.81,1,1,2,2.34,17.125,18,16.341269841269842,15,6.0,10.0,12.0,0.1,2.7289920634920635,12.533753968253968,0,0,1,1
93,93,90,9094906A012,4,3249.0,64678,21.0,中庸スプリング（株）,TP-131 ﾊﾝﾖｳ,500,0.59,3,1,2,2.34,6.497999999999998,7,6.159809523809524,4,3.0,4.0,8.0,0.1,1.0286881904761904,4.724573904761905,0,0,0,1
94,94,91,34989ECB020,4,946.0,18812,26.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500,0.81,1,1,1,2.33,1.892,2,1.4470769230769231,1,0.0,1.0,8.0,0.0,0.4818766153846154,1.9289535384615384,0,0,1,1
95,95,92,34989ECB030,4,946.0,18812,26.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,1000,0.8,1,1,1,2.33,0.946,1,0.7235384615384616,1,0.0,0.0,4.0,0.0,0.2409383076923077,0.9644767692307692,0,0,1,1
