,KOTEI_ID,WORK_ID,JISEKI_DT,JISEKI_DT2,TYOKU
897,02,05,2023-12-15 01:47:57.590,2023-12-15 02:18:28.597,0
899,02,06,2023-12-15 05:05:34.123,2023-12-15 05:37:13.120,0
902,02,01,2023-12-15 09:16:13.870,2023-12-15 09:50:40.990,0
904,02,02,2023-12-15 13:48:11.317,2023-12-15 14:39:07.003,0
908,02,03,2023-12-15 17:07:14.280,2023-12-15 17:49:06.420,0
911,02,04,2023-12-15 21:17:20.837,2023-12-16 01:48:00.523,0
915,02,05,2023-12-16 01:48:01.227,2023-12-16 02:29:05.477,0
917,02,06,2023-12-16 05:03:51.213,2023-12-16 05:38:23.863,0
920,02,01,2023-12-18 09:14:03.077,2023-12-18 09:45:32.680,0
922,02,02,2023-12-18 13:51:01.550,2023-12-18 14:29:10.207,0
926,02,03,2023-12-18 17:05:07.367,2023-12-18 17:40:44.700,0
929,02,04,2023-12-18 21:21:09.523,2023-12-18 21:45:15.893,0
933,02,05,2023-12-19 01:51:03.667,2023-12-19 02:32:53.737,0
935,02,06,2023-12-19 05:10:04.607,2023-12-19 05:49:55.347,0
938,02,01,2023-12-19 09:15:24.850,2023-12-19 09:45:13.747,0
940,02,02,2023-12-19 13:45:51.880,2023-12-19 14:25:45.360,0
944,02,03,2023-12-19 17:04:02.880,2023-12-19 17:41:17.647,0
947,02,04,2023-12-19 21:18:47.547,2023-12-19 21:46:15.747,0
951,02,05,2023-12-20 01:54:22.053,2023-12-20 02:40:27.503,0
953,02,06,2023-12-20 05:07:44.663,2023-12-20 05:49:26.917,0
956,02,01,2023-12-20 09:13:50.857,2023-12-20 09:46:07.820,0
958,02,02,2023-12-20 13:46:39.273,2023-12-20 14:22:27.340,0
962,02,03,2023-12-20 17:04:16.560,2023-12-20 17:43:44.043,0
965,02,04,2023-12-20 21:18:50.087,2023-12-20 21:44:35.190,0
969,02,05,2023-12-21 02:38:44.900,2023-12-21 02:38:55.580,0
971,02,06,2023-12-21 05:05:04.137,2023-12-21 05:48:46.923,0
975,02,01,2023-12-21 09:12:26.013,2023-12-21 09:44:29.470,0
977,02,02,2023-12-21 13:47:16.227,2023-12-21 14:28:30.027,0
981,02,03,2023-12-21 17:06:46.493,2023-12-21 17:42:07.673,0
984,02,04,2023-12-21 21:16:49.673,2023-12-21 21:47:41.753,0
988,02,05,2023-12-22 01:55:32.763,2023-12-22 02:39:05.067,0
990,02,06,2023-12-22 05:05:31.133,2023-12-22 05:50:57.617,0
993,02,01,2023-12-22 09:38:51.790,2023-12-22 09:39:02.703,0
995,02,02,2023-12-22 14:01:39.867,2023-12-22 14:38:27.077,0
999,02,03,2023-12-22 17:01:09.070,2023-12-22 17:49:17.860,0
1002,02,04,2023-12-22 21:15:01.430,2023-12-22 21:47:50.520,0
1006,02,05,2023-12-23 02:32:44.753,2023-12-23 02:32:54.223,0
1008,02,06,2023-12-23 05:08:01.993,2023-12-23 05:47:57.040,0
1012,02,01,2023-12-25 09:16:04.783,2023-12-25 09:51:13.870,0
1015,02,02,2023-12-25 13:48:31.867,2023-12-25 14:39:01.067,0
1019,02,03,2023-12-25 17:05:09.057,2023-12-25 17:47:35.650,0
1022,02,04,2023-12-25 21:21:32.680,2023-12-25 23:25:58.643,0
1026,02,05,2023-12-26 01:42:54.803,2023-12-26 02:14:50.477,0
1028,02,06,2023-12-26 05:06:07.597,2023-12-26 05:44:08.707,0
1032,02,01,2023-12-26 09:16:41.027,2023-12-26 09:49:43.043,0
