,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数
409,39171ECE010    ,2023,51,24.0,92.0,90.0,（株）アイシン福井,20.1,0.27,1.06,1.06,3.97,4.1,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,97,101.45,0.79,0.0,2.91,0.12999999999999945,3.04,,4.825396825396825,3.9084524550393738,1.7319500000000003,13.857212968041802,6.714319685546028,100.0,371.5
410,41310ECB010    ,2023,51,72.5,761.0,768.0,（株）オンド,172.0,0.18,1.25,1.58,2.25,2.47,0.69,0.7016093455231461,2.0,（株）オンド,1.0,4.0,4.0,2,827,856.5,1.07,0.3300000000000001,0.6699999999999999,0.2200000000000002,1.2200000000000002,0.05,1.7681159420289858,1.7388593920315052,21.5,3.3720930232558137,0.9917920656634748,100.0,371.5
411,41310ECE010    ,2023,51,151.0,1003.0,911.0,（株）オンド,201.0,0.18,1.25,1.64,3.98,4.17,0.7,0.7147801453380958,3.0,（株）オンド,1.0,4.0,4.0,2,989,1014.5,1.07,0.3899999999999999,2.34,0.18999999999999995,2.92,0.05,4.171428571428572,4.085172229593509,25.125,6.009950248756219,1.7676324261047702,100.0,371.5
412,5040056001E    ,2023,51,5.0,31.0,22.0,サトープレス工業（株）,5.7333333333333325,0.11,1.94,2.2,4.69,5.245,0.58,1.102420548541576,3.0,サトープレス工業（株）,1.0,1.0,1.78,300,30,28.55,1.83,0.26000000000000023,2.4899999999999998,0.5550000000000006,3.305,0.0,5.698275862068965,2.9979484729056263,1.5938666666666668,3.137025263510122,0.6566965536564864,100.0,371.5
413,82125ECB010    ,2023,51,6.0,18.0,15.0,矢崎総業（株）,3.44,0.13,1.99,2.17,5.24,5.79,0.58,0.8702336380786533,1.0,矢崎総業（株）,1.0,1.0,1.79,100,17,17.130000000000006,1.86,0.17999999999999994,3.0700000000000003,0.5499999999999998,3.8,0.0,6.551724137931035,4.36664343197516,0.95976,6.25156289072268,1.312404850648328,100.0,371.5
414,82125ECE010    ,2023,51,8.0,21.0,18.0,矢崎総業（株）,4.02,0.13,1.99,2.17,5.475,6.005000000000001,0.62,0.8663357556349304,1.0,矢崎総業（株）,1.0,1.0,1.79,100,20,20.290000000000006,1.86,0.17999999999999994,3.305,0.5300000000000011,4.0150000000000015,0.0,6.475806451612903,4.6344618398642,1.12158,7.1327948073253795,1.4974038760299333,100.0,371.5
415,82821CWA030    ,2023,51,5.0,22.0,20.0,石黒ゴム工業（株）,3.985,0.11,1.96,2.23,5.13,5.85,0.83,1.1113104377893688,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,200,19,19.46,1.85,0.27,2.9,0.7199999999999998,3.89,0.29,4.686746987951807,3.5003720542191896,0.92452,5.408211828840911,1.6044822817021631,100.0,371.5
416,82821ECB010    ,2023,51,2.0,11.0,8.0,石黒ゴム工業（株）,1.9925,0.33,1.96,2.375,3.625,5.465,0.83,1.3925879043600562,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,400,10,9.73,1.63,0.415,1.25,1.84,3.505,0.29,4.22289156626506,2.5168967711310635,0.4622600000000001,4.326569463072729,1.2835858253617305,100.0,371.5
417,82821ECB020    ,2023,51,8.0,22.0,20.0,石黒ゴム工業（株）,3.985,0.11,1.96,2.23,6.57,6.93,0.87,1.151293952180028,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,200,15,19.46,1.85,0.27,4.34,0.35999999999999943,4.97,0.29,5.712643678160919,4.316881879375009,0.92452,8.653138926145457,2.567171650723461,100.0,371.5
418,82821ECB040    ,2023,51,4.5,17.0,15.0,石黒ゴム工業（株）,3.44,0.11,1.96,2.51,5.24,5.85,0.83,1.1782803656943839,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,100,15,17.130000000000006,1.85,0.5499999999999998,2.7300000000000004,0.6099999999999994,3.89,0.29,4.686746987951807,3.3014213876911587,0.7980800000000001,5.638532477947072,1.6728127044548855,100.0,371.5
