,品番,Year,Week_Number,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）
93,34989ECB030    ,2023,38,0.8,2.1820965341271528,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,2.24,0.2999999999999998,6.000000000000001,0.9600000000000009,7.0299999999999985,（株）槌屋,5,3.51
94,34989ECB030    ,2023,39,0.8,2.1820965341271528,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,2.24,0.3599999999999999,5.43,0.79,6.54,（株）槌屋,4,3.575
95,34989ECC010    ,2023,35,0.78,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.25,0.4300000000000006,21.73,6.07,28.23,（株）槌屋,1,0.0
96,34989ECC010    ,2023,36,0.78,4.082925448254168,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.245,0.355,29.55,5.149999999999999,35.055,（株）槌屋,2,0.624
97,34989ECC010    ,2023,37,0.78,4.082925448254168,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.3799999999999999,12.43,6.029999999999998,18.84,（株）槌屋,1,0.306
98,34989ECC010    ,2023,38,0.78,4.082925448254168,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,6.735,0.36999999999999966,18.225,5.619999999999997,24.215,（株）槌屋,2,0.5760000000000001
99,34989ECC010    ,2023,39,0.78,4.082925448254168,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.2350000000000003,0.34999999999999964,14.274999999999999,4.865000000000002,19.490000000000002,（株）槌屋,2,0.3
100,34989ECE010    ,2023,35,0.72,4.768582995951417,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.3600000000000003,15.13,7.7399999999999975,23.23,（株）槌屋,1,0.0
101,34989ECE010    ,2023,36,0.72,4.768582995951417,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.3900000000000001,25.06,7.800000000000002,33.25,（株）槌屋,1,0.336
102,34989ECE010    ,2023,37,0.72,4.768582995951417,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.25,1.4600000000000002,42.905,7.245000000000001,51.61,（株）槌屋,2,0.552
103,34989ECE010    ,2023,38,0.72,4.768582995951417,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.22,0.4700000000000002,10.5,7.449999999999998,18.42,（株）槌屋,1,0.3
104,34989ECE010    ,2023,39,0.72,4.768582995951417,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.235,0.40500000000000025,33.105,8.86,42.37,（株）槌屋,2,0.5880000000000001
105,34989ECE020    ,2023,35,0.82,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,6.75,1.4200000000000006,13.309999999999999,5.145000000000003,19.875,（株）槌屋,2,0.0
106,34989ECE020    ,2023,35,0.82,3.01435736677116,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.2900000000000009,5.449999999999998,2.9200000000000017,8.660000000000002,（株）槌屋,1,0.444
107,34989ECE020    ,2023,36,0.82,3.01435736677116,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.24,0.41500000000000004,28.15,5.270000000000003,33.83500000000001,（株）槌屋,2,0.9239999999999999
108,34989ECE020    ,2023,37,0.82,3.01435736677116,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.23,0.35999999999999943,3.59,5.450000000000001,9.4,（株）槌屋,3,0.986
109,34989ECE020    ,2023,38,0.82,3.01435736677116,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.24,0.33499999999999996,13.015,4.180000000000001,17.53,（株）槌屋,2,0.89
110,34989ECE020    ,2023,39,0.82,3.01435736677116,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.365,5.305,4.385,10.055,（株）槌屋,2,0.94
111,34989ECE030    ,2023,35,0.8,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.24,0.3600000000000003,6.13,22.950000000000006,29.440000000000005,（株）槌屋,1,0.0
112,34989ECE030    ,2023,36,0.8,13.004571871367688,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,2.24,0.5700000000000003,35.7,13.689999999999998,49.96,（株）槌屋,1,0.276
113,34989ECE030    ,2023,37,0.8,13.004571871367688,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,3.230000000000001,0.3250000000000002,24.58,11.425,36.33,（株）槌屋,2,0.456
114,34989ECE030    ,2023,38,0.8,13.004571871367688,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.22,0.39000000000000057,12.89,10.19,23.47,（株）槌屋,1,0.204
115,34989ECE030    ,2023,39,0.8,13.004571871367688,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,4.23,0.35999999999999943,16.939999999999998,6.330000000000003,23.630000000000006,（株）槌屋,1,0.252
116,35141ECB010    ,2023,39,0.62,0.7423895094706168,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,0.89,0.0199999999999998,0.44000000000000017,0.10000000000000007,0.57,（株）アイシン福井,111,98.875
117,35141ECE010    ,2023,39,0.63,0.7491151446398185,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,0.8399999999999999,0.0,0.8499999999999999,0.11000000000000032,1.0699999999999998,（株）アイシン福井,111,99.65000000000002
