,“úŽž,‰×–ðŽžŠÔ_•Ö_01,‰×–ðŽžŠÔ_•Ö_02,‰×–ðŽžŠÔ_•Ö_03,‰×–ðŽžŠÔ_•Ö_04,‰×–ðŽžŠÔ_•Ö_05,‰×–ðŽžŠÔ_•Ö_06,‰×–ðŽžŠÔ_•Ö_0K,‰×–ðŽžŠÔ,‰×–ðŽžŠÔ(t-1),‰×–ðŽžŠÔ(t-2),‰×–ðŽžŠÔ(t-3),‰×–ðŽžŠÔ(t-4),‰×–ðŽžŠÔ(t-5),‰×–ðŽžŠÔ(t-6),‰×–ðŽžŠÔ(t-7)
109,2023-10-05 13:00:00,0.0,52.898166666666675,0.0,0.0,0.0,0.0,0.0,52.898166666666675,0.0,0.0,0.0,31.450400000000002,0.0,0.0,0.0
110,2023-10-05 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.898166666666675,0.0,0.0,0.0,31.450400000000002,0.0,0.0
111,2023-10-05 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.898166666666675,0.0,0.0,0.0,31.450400000000002,0.0
112,2023-10-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.898166666666675,0.0,0.0,0.0,31.450400000000002
113,2023-10-05 17:00:00,0.0,0.0,44.111450000000005,0.0,0.0,0.0,0.0,44.111450000000005,0.0,0.0,0.0,52.898166666666675,0.0,0.0,0.0
114,2023-10-05 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.111450000000005,0.0,0.0,0.0,52.898166666666675,0.0,0.0
115,2023-10-05 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.111450000000005,0.0,0.0,0.0,52.898166666666675,0.0
116,2023-10-05 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.111450000000005,0.0,0.0,0.0,52.898166666666675
117,2023-10-05 21:00:00,0.0,0.0,0.0,22.64995,0.0,0.0,0.0,22.64995,0.0,0.0,0.0,44.111450000000005,0.0,0.0,0.0
118,2023-10-05 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64995,0.0,0.0,0.0,44.111450000000005,0.0,0.0
119,2023-10-05 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64995,0.0,0.0,0.0,44.111450000000005,0.0
120,2023-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64995,0.0,0.0,0.0,44.111450000000005
121,2023-10-06 01:00:00,0.0,0.0,0.0,0.0,31.340833333333332,0.0,0.0,31.340833333333332,0.0,0.0,0.0,22.64995,0.0,0.0,0.0
122,2023-10-06 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.340833333333332,0.0,0.0,0.0,22.64995,0.0,0.0
123,2023-10-06 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.340833333333332,0.0,0.0,0.0,22.64995,0.0
124,2023-10-06 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.340833333333332,0.0,0.0,0.0,22.64995
125,2023-10-06 05:00:00,0.0,0.0,0.0,0.0,0.0,28.354166666666668,0.0,28.354166666666668,0.0,0.0,0.0,31.340833333333332,0.0,0.0,0.0
126,2023-10-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.354166666666668,0.0,0.0,0.0,31.340833333333332,0.0,0.0
127,2023-10-06 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.354166666666668,0.0,0.0,0.0,31.340833333333332,0.0
128,2023-10-06 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.354166666666668,0.0,0.0,0.0,31.340833333333332
129,2023-10-06 09:00:00,36.249833333333335,0.0,0.0,0.0,0.0,0.0,0.0,36.249833333333335,0.0,0.0,0.0,28.354166666666668,0.0,0.0,0.0
130,2023-10-06 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.249833333333335,0.0,0.0,0.0,28.354166666666668,0.0,0.0
131,2023-10-06 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.249833333333335,0.0,0.0,0.0,28.354166666666668,0.0
132,2023-10-06 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.249833333333335,0.0,0.0,0.0,28.354166666666668
133,2023-10-06 13:00:00,0.0,52.40955,0.0,0.0,0.0,0.0,0.0,52.40955,0.0,0.0,0.0,36.249833333333335,0.0,0.0,0.0
134,2023-10-06 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40955,0.0,0.0,0.0,36.249833333333335,0.0,0.0
135,2023-10-06 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40955,0.0,0.0,0.0,36.249833333333335,0.0
136,2023-10-06 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40955,0.0,0.0,0.0,36.249833333333335
137,2023-10-06 17:00:00,0.0,0.0,43.99526666666667,0.0,0.0,0.0,0.0,43.99526666666667,0.0,0.0,0.0,52.40955,0.0,0.0,0.0
138,2023-10-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667,0.0,0.0,0.0,52.40955,0.0,0.0
139,2023-10-06 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667,0.0,0.0,0.0,52.40955,0.0
140,2023-10-06 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667,0.0,0.0,0.0,52.40955
141,2023-10-06 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667,0.0,0.0,0.0
142,2023-10-06 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667,0.0,0.0
143,2023-10-06 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667,0.0
144,2023-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99526666666667
145,2023-10-07 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2023-10-07 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2023-10-07 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2023-10-07 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2023-10-07 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2023-10-07 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2023-10-07 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
